PLZ,Name ,Landkreis,Bundesland
78267,Aach,Landkreis Konstanz,Baden-Württemberg
52080,Aachen,Kreis Städteregion Aachen,Nordrhein-Westfalen
52078,Aachen,Kreis Städteregion Aachen,Nordrhein-Westfalen
52076,Aachen,Kreis Städteregion Aachen,Nordrhein-Westfalen
52074,Aachen,Kreis Städteregion Aachen,Nordrhein-Westfalen
52072,Aachen,Kreis Städteregion Aachen,Nordrhein-Westfalen
52070,Aachen,Kreis Städteregion Aachen,Nordrhein-Westfalen
52068,Aachen,Kreis Städteregion Aachen,Nordrhein-Westfalen
52066,Aachen,Kreis Städteregion Aachen,Nordrhein-Westfalen
52064,Aachen,Kreis Städteregion Aachen,Nordrhein-Westfalen
52062,Aachen,Kreis Städteregion Aachen,Nordrhein-Westfalen
73434,Aalen,Landkreis Ostalbkreis,Baden-Württemberg
73433,Aalen,Landkreis Ostalbkreis,Baden-Württemberg
73432,Aalen,Landkreis Ostalbkreis,Baden-Württemberg
73431,Aalen,Landkreis Ostalbkreis,Baden-Württemberg
73430,Aalen,Landkreis Ostalbkreis,Baden-Württemberg
65326,Aarbergen,Landkreis Rheingau-Taunus-Kreis,Hessen
91183,Abenberg,Landkreis Roth,Bayern
93326,Abensberg,Landkreis Kelheim,Bayern
91720,Absberg,Landkreis Weißenburg-Gunzenhausen,Bayern
74232,Abstatt,Landkreis Heilbronn,Baden-Württemberg
73453,Abtsgmünd,Landkreis Ostalbkreis,Baden-Württemberg
69518,Abtsteinach,Landkreis Bergstraße,Hessen
88147,Achberg,Landkreis Ravensburg,Baden-Württemberg
77855,Achern (Abweichung Exklaven),Landkreis Ortenaukreis,Baden-Württemberg
28832,Achim,Landkreis Verden,Niedersachsen
94250,Achslach,Landkreis Regen,Bayern
88480,Achstetten,Landkreis Biberach,Baden-Württemberg
24239,Achterwehr,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
73099,Adelberg,Landkreis Göppingen,Baden-Württemberg
37139,Adelebsen,Landkreis Göttingen,Niedersachsen
29352,Adelheidsdorf,Landkreis Celle,Niedersachsen
73486,Adelmannsfelden,Landkreis Ostalbkreis,Baden-Württemberg
85111,Adelschlag,Landkreis Eichstätt,Bayern
91325,Adelsdorf,Landkreis Erlangen-Höchstadt,Bayern
74740,Adelsheim,Landkreis Neckar-Odenwald-Kreis,Baden-Württemberg
91587,Adelshofen,Landkreis Ansbach,Bayern
82276,Adelshofen,Landkreis Fürstenfeldbruck,Bayern
86477,Adelsried,Landkreis Augsburg,Bayern
86559,Adelzhausen,Landkreis Aichach-Friedberg,Bayern
53518,"Adenau, Kottenborn u.a.",Landkreis Ahrweiler,Rheinland-Pfalz
38528,Adenbüttel,Landkreis Gifhorn,Niedersachsen
21365,Adendorf,Landkreis Lüneburg,Niedersachsen
84166,Adlkofen,Landkreis Landshut,Bayern
8626,Adorf,Landkreis Vogtlandkreis,Sachsen
31855,Aerzen,Landkreis Hameln-Pyrmont,Niedersachsen
71563,Affalterbach,Landkreis Ludwigsburg,Baden-Württemberg
86444,Affing,Landkreis Aichach-Friedberg,Bayern
27257,Affinghausen und Sudwalde,Landkreis Diepholz,Niedersachsen
74858,Aglasterhausen,Landkreis Neckar-Odenwald-Kreis,Baden-Württemberg
84168,Aham,Landkreis Landshut,Bayern
48683,Ahaus,Kreis Borken,Nordrhein-Westfalen
59229,Ahlen,Kreis Warendorf,Nordrhein-Westfalen
59227,Ahlen,Kreis Warendorf,Nordrhein-Westfalen
21702,Ahlerstedt,Landkreis Stade,Niedersachsen
34292,Ahnatal,Landkreis Kassel,Hessen
29353,Ahnsbeck,Landkreis Celle,Niedersachsen
31708,Ahnsen,Landkreis Schaumburg,Niedersachsen
94345,Aholfing,Landkreis Straubing-Bogen,Bayern
94527,Aholming,Landkreis Deggendorf,Bayern
96482,Ahorn,Landkreis Coburg,Bayern
74744,Ahorn,Landkreis Main-Tauber-Kreis,Baden-Württemberg
95491,Ahorntal,Landkreis Bayreuth,Bayern
53506,"Ahrbrück, Heckenbach, Hönningen, Kesseling, Rech",Landkreis Ahrweiler,Rheinland-Pfalz
23623,Ahrensbök,Kreis Ostholstein,Schleswig-Holstein
22926,Ahrensburg,Kreis Stormarn,Schleswig-Holstein
18320,"Ahrenshagen-Daskow, Trinwillershagen u.a.",Landkreis Vorpommern-Rügen,Mecklenburg-Vorpommern
25853,Ahrenshöft,Kreis Nordfriesland,Schleswig-Holstein
94529,Aicha vorm Wald,Landkreis Passau,Bayern
86551,Aichach,Landkreis Aichach-Friedberg,Bayern
73101,Aichelberg,Landkreis Göppingen,Baden-Württemberg
86479,Aichen,Landkreis Günzburg,Bayern
78733,Aichhalden,Landkreis Rottweil,Baden-Württemberg
88317,Aichstetten,Landkreis Ravensburg,Baden-Württemberg
72631,Aichtal,Landkreis Esslingen,Baden-Württemberg
73773,Aichwald,Landkreis Esslingen,Baden-Württemberg
97491,Aidhausen,Landkreis Haßberge,Bayern
71134,Aidlingen,Landkreis Böblingen,Baden-Württemberg
84089,Aiglsbach,Landkreis Kelheim,Bayern
86447,Aindling,Landkreis Aichach-Friedberg,Bayern
83404,Ainring,Landkreis Berchtesgadener Land,Bayern
89344,Aislingen,Landkreis Dillingen a.d. Donau,Bayern
94330,Aiterhofen,Landkreis Straubing-Bogen,Bayern
88319,Aitrach,Landkreis Ravensburg,Baden-Württemberg
87648,Aitrang,Landkreis Ostallgäu,Bayern
,,,
6385,Aken (Elbe),Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt
83544,Albaching,Landkreis Rosenheim,Bayern
79774,Albbruck,Landkreis Waldshut,Baden-Württemberg
,,,
25767,Albersdorf,Kreis Dithmarschen,Schleswig-Holstein
73095,Albershausen,Landkreis Göppingen,Baden-Württemberg
76857,"Albersweiler, Silz u.a.",Landkreis Südliche Weinstraße,Rheinland-Pfalz
97320,Albertshofen,Landkreis Kitzingen,Bayern
97320,Albertshofen,Landkreis Kitzingen,Bayern
,,,
55234,Albig,Landkreis Alzey-Worms,Rheinland-Pfalz
,,,
67308,Albisheim (Pfrimm),Landkreis Donnersbergkreis,Rheinland-Pfalz
72461,Albstadt,Landkreis Zollernalbkreis,Baden-Württemberg
72459,Albstadt,Landkreis Zollernalbkreis,Baden-Württemberg
72458,Albstadt,Landkreis Zollernalbkreis,Baden-Württemberg
52457,Aldenhoven,Kreis Düren,Nordrhein-Westfalen
94501,Aldersbach,Landkreis Passau,Bayern
78554,Aldingen,Landkreis Tuttlingen,Baden-Württemberg
86733,Alerheim,Landkreis Donau-Ries,Bayern
91793,Alesheim,Landkreis Weißenburg-Gunzenhausen,Bayern
86480,Aletshausen,Landkreis Günzburg,Bayern
73553,"Alfdorf, Schillinghof",Landkreis Ostalbkreis,Baden-Württemberg
,,,
91236,Alfeld,Landkreis Nürnberger Land,Bayern
31061,Alfeld (Leine),Landkreis Hildesheim,Niedersachsen
49594,Alfhausen,Landkreis Osnabrück,Niedersachsen
56828,Alflen,Landkreis Cochem-Zell,Rheinland-Pfalz
53347,Alfter,Kreis Rhein-Sieg-Kreis,Nordrhein-Westfalen
31191,Algermissen,Landkreis Hildesheim,Niedersachsen
36211,Alheim,Landkreis Hersfeld-Rotenburg,Hessen
35469,Allendorf,Landkreis Gießen,Hessen
35108,Allendorf,Landkreis Waldeck-Frankenberg,Hessen
78476,Allensbach,Landkreis Konstanz,Baden-Württemberg
90584,Allersberg,Landkreis Roth,Bayern
85391,Allershausen,Landkreis Freising,Bayern
82239,Alling,Landkreis Fürstenfeldbruck,Bayern
89604,Allmendingen,Landkreis Alb-Donau-Kreis,Baden-Württemberg
89604,Allmendingen,Landkreis Alb-Donau-Kreis,Baden-Württemberg
71573,Allmersbach im Tal,Landkreis Rems-Murr-Kreis,Baden-Württemberg
6542,Allstedt,Landkreis Mansfeld-Südharz,Sachsen-Anhalt
6542,Allstedt,Landkreis Mansfeld-Südharz,Sachsen-Anhalt
46519,Alpen,Kreis Wesel,Nordrhein-Westfalen
57642,Alpenrod,Landkreis Westerwaldkreis,Rheinland-Pfalz
,,,
72275,Alpirsbach,Landkreis Freudenstadt,Baden-Württemberg
64665,Alsbach-Hähnlein,Landkreis Darmstadt-Dieburg,Hessen
52477,Alsdorf,Kreis Städteregion Aachen,Nordrhein-Westfalen
67821,Alsenz,Landkreis Donnersbergkreis,Rheinland-Pfalz
36304,Alsfeld,Landkreis Vogelsbergkreis,Hessen
67577,Alsheim,Landkreis Alzey-Worms,Rheinland-Pfalz
6425,"Alsleben/Saale, Plötzkau",Landkreis Salzlandkreis,Sachsen-Anhalt
24791,Alt Duvenstedt,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
73776,Altbach,Landkreis Esslingen,Baden-Württemberg
3229,"Altdöbern, Luckaitztal",Landkreis Oberspreewald-Lausitz,Brandenburg
72655,Altdorf,Landkreis Esslingen,Baden-Württemberg
71155,Altdorf,Landkreis Böblingen,Baden-Württemberg
90518,Altdorf bei Nürnberg,Landkreis Nürnberger Land,Bayern
93087,Alteglofsheim,Landkreis Regensburg,Bayern
58762,Altena,Kreis Märkischer Kreis,Nordrhein-Westfalen
53505,"Altenahr, Berg, Kalenborn, Kirchsahr",Landkreis Ahrweiler,Rheinland-Pfalz
38707,"Altenau, Schulenberg",Landkreis Goslar,Niedersachsen
33184,Altenbeken,Kreis Paderborn,Nordrhein-Westfalen
1778,Altenberg,Landkreis Sächsische Schweiz-Osterzgebirge,Sachsen
1773,Altenberg,Landkreis Sächsische Schweiz-Osterzgebirge,Sachsen
48341,Altenberge,Kreis Steinfurt,Nordrhein-Westfalen
97901,Altenbuch,Landkreis Miltenberg,Bayern
4600,Altenburg,Landkreis Altenburger Land,Thüringen
65624,Altendiez,Landkreis Rhein-Lahn-Kreis,Rheinland-Pfalz
96146,Altendorf,Landkreis Bamberg,Bayern
92540,Altendorf,Landkreis Schwandorf,Bayern
66885,Altenglan,Landkreis Kusel,Rheinland-Pfalz
24161,Altenholz,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
66903,Altenkirchen,Landkreis Kusel,Rheinland-Pfalz
,,,
57610,Altenkirchen (Westerwald),Landkreis Altenkirchen (Westerwald),Rheinland-Pfalz
96264,Altenkunstadt,Landkreis Lichtenfels,Bayern
83352,Altenmarkt a.d. Alz,Landkreis Traunstein,Bayern
29575,Altenmedingen,Landkreis Uelzen,Niedersachsen
86450,Altenmünster,Landkreis Augsburg,Bayern
72657,Altenriet,Landkreis Esslingen,Baden-Württemberg
72657,Altenriet,Landkreis Esslingen,Baden-Württemberg
89281,Altenstadt,Landkreis Neu-Ulm,Bayern
86972,Altenstadt,Landkreis Weilheim-Schongau,Bayern
63674,Altenstadt,Landkreis Wetteraukreis,Hessen
92665,Altenstadt a.d. Waldnaab,Landkreis Neustadt a.d. Waldnaab,Bayern
72213,Altensteig,Landkreis Calw,Baden-Württemberg
93177,Altenthann,Landkreis Regensburg,Bayern
17087,Altentreptow,Landkreis Mecklenburgische Seenplatte,Mecklenburg-Vorpommern
97237,Altertheim,Landkreis Würzburg,Bayern
84169,Altfraunhofen,Landkreis Landshut,Bayern
82278,Althegnenberg,Landkreis Fürstenfeldbruck,Bayern
89605,Altheim,Landkreis Alb-Donau-Kreis,Baden-Württemberg
,,,
89174,Altheim (Alb),Landkreis Alb-Donau-Kreis,Baden-Württemberg
75382,Althengstett,Landkreis Calw,Baden-Württemberg
71566,Althütte,Landkreis Rems-Murr-Kreis,Baden-Württemberg
67317,Altleiningen,Landkreis Bad Dürkheim,Rheinland-Pfalz
68804,Altlußheim,Landkreis Rhein-Neckar-Kreis,Baden-Württemberg
93336,Altmannstein,Landkreis Eichstätt,Bayern
85250,Altomünster,Landkreis Dachau,Bayern
84503,Altötting,Landkreis Altötting,Bayern
67122,Altrip,Landkreis Rhein-Pfalz-Kreis,Rheinland-Pfalz
88361,Altshausen,Landkreis Ravensburg,Baden-Württemberg
87452,Altusried,Landkreis Oberallgäu,Bayern
25486,Alveslohe,Kreis Segeberg,Schleswig-Holstein
63755,Alzenau,Landkreis Aschaffenburg,Bayern
55232,Alzey,Landkreis Alzey-Worms,Rheinland-Pfalz
,,,
15838,Am Mellensee,Landkreis Teltow-Fläming,Brandenburg
37345,"Am Ohmberg, Sonnenstein",Landkreis Eichsfeld,Thüringen
92224,Amberg,Kreisfreie Stadt Amberg,Bayern
86854,Amberg,Landkreis Unterallgäu,Bayern
83123,Amerang,Landkreis Rosenheim,Bayern
86735,Amerdingen,Landkreis Donau-Ries,Bayern
72119,Ammerbuch,Landkreis Tübingen,Baden-Württemberg
90614,Ammerndorf,Landkreis Fürth,Bayern
22949,Ammersbek,Kreis Stormarn,Schleswig-Holstein
92260,Ammerthal,Landkreis Amberg-Sulzbach,Bayern
35287,Amöneburg,Landkreis Marburg-Biedenkopf,Hessen
63916,Amorbach,Landkreis Miltenberg,Bayern
,,,
84539,Ampfing,Landkreis Mühldorf a. Inn,Bayern
25946,Amrum,Kreis Nordfriesland,Schleswig-Holstein
73340,Amstetten,Landkreis Alb-Donau-Kreis,Baden-Württemberg
19273,"Amt Neuhaus, Stapel",Landkreis Lüneburg,Niedersachsen
9439,Amtsberg,Landkreis Erzgebirgskreis,Sachsen
88279,Amtzell,Landkreis Ravensburg,Baden-Württemberg
82346,Andechs,Landkreis Starnberg,Bayern
56626,Andernach,Landkreis Mayen-Koblenz,Rheinland-Pfalz
49832,"Andervenne, Beesten, Freren, Messingen, Thuine",Landkreis Emsland,Niedersachsen
74918,Angelbachtal,Landkreis Rhein-Neckar-Kreis,Baden-Württemberg
35719,Angelburg,Landkreis Marburg-Biedenkopf,Hessen
83454,Anger,Landkreis Berchtesgadener Land,Bayern
16278,Angermünde,Landkreis Uckermark,Brandenburg
56584,Anhausen,Landkreis Neuwied,Rheinland-Pfalz
17389,Anklam,Landkreis Vorpommern-Greifswald,Mecklenburg-Vorpommern
9456,"Annaberg-Buchholz, Mildenau",Landkreis Erzgebirgskreis,Sachsen
6925,Annaburg,Landkreis Wittenberg,Sachsen-Anhalt
76855,Annweiler am Trifels,Landkreis Südliche Weinstraße,Rheinland-Pfalz
59609,Anröchte,Kreis Soest,Nordrhein-Westfalen
91522,Ansbach,Kreisfreie Stadt Ansbach,Bayern
82387,Antdorf,Landkreis Weilheim-Schongau,Bayern
36326,Antrifttal,Landkreis Vogelsbergkreis,Hessen
53533,"Antweiler, Aremberg, Dorsel, Eichenbach, Aremberg, Fuchshofen und Müsch",Landkreis Ahrweiler,Rheinland-Pfalz
85646,Anzing,Landkreis Ebersberg,Bayern
31552,"Apelern, Rodenberg",Landkreis Schaumburg,Niedersachsen
26689,Apen,Landkreis Ammerland,Niedersachsen
21641,Apensen,Landkreis Stade,Niedersachsen
86974,Apfeldorf,Landkreis Landsberg am Lech,Bayern
87742,Apfeltrach,Landkreis Unterallgäu,Bayern
99510,Apolda,Landkreis Weimarer Land,Thüringen
25482,Appen,Kreis Pinneberg,Schleswig-Holstein
77767,Appenweier,Landkreis Ortenaukreis,Baden-Württemberg
91722,Arberg,Landkreis Ansbach,Bayern
39619,Arendsee,Landkreis Altmarkkreis Salzwedel,Sachsen-Anhalt
37318,"Arenshausen, Uder u.a.",Landkreis Eichsfeld,Thüringen
86561,Aresing,Landkreis Neuburg-Schrobenhausen,Bayern
88260,Argenbühl,Landkreis Ravensburg,Baden-Württemberg
55496,Argenthal,Landkreis Rhein-Hunsrück-Kreis,Rheinland-Pfalz
55288,Armsheim,Landkreis Alzey-Worms,Rheinland-Pfalz
93471,Arnbruck,Landkreis Regen,Bayern
24399,"Arnis, Marienhof",Kreis Schleswig-Flensburg,Schleswig-Holstein
59823,Arnsberg,Kreis Hochsauerlandkreis,Nordrhein-Westfalen
59821,Arnsberg,Kreis Hochsauerlandkreis,Nordrhein-Westfalen
59759,Arnsberg,Kreis Hochsauerlandkreis,Nordrhein-Westfalen
59757,Arnsberg,Kreis Hochsauerlandkreis,Nordrhein-Westfalen
59755,Arnsberg,Kreis Hochsauerlandkreis,Nordrhein-Westfalen
93473,Arnschwang,Landkreis Cham,Bayern
1477,Arnsdorf b. Dresden,Landkreis Bautzen,Sachsen
99338,Arnstadt,Landkreis Ilm-Kreis,Thüringen
99310,Arnstadt,Landkreis Ilm-Kreis,Thüringen
97450,Arnstein,Landkreis Main-Spessart,Bayern
6456,Arnstein,Landkreis Mansfeld-Südharz,Sachsen-Anhalt
94424,Arnstorf,Landkreis Rottal-Inn,Bayern
93474,Arrach,Landkreis Cham,Bayern
6556,Artern/Unstrut u.a.,Landkreis Kyffhäuserkreis,Thüringen
21380,Artlenburg,Landkreis Lüneburg,Niedersachsen
95659,Arzberg,Landkreis Wunsiedel i. Fichtelgebirge,Bayern
4886,"Arzberg, Beilrode",Landkreis Nordsachsen,Sachsen
54687,Arzfeld,Landkreis Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
86663,Asbach-Bäumenheim,Landkreis Donau-Ries,Bayern
53567,"Asbach, Buchholz",Landkreis Neuwied,Rheinland-Pfalz
94347,Ascha,Landkreis Straubing-Bogen,Bayern
63743,Aschaffenburg,Kreisfreie Stadt Aschaffenburg,Bayern
63741,Aschaffenburg,Kreisfreie Stadt Aschaffenburg,Bayern
63739,Aschaffenburg,Kreisfreie Stadt Aschaffenburg,Bayern
84544,Aschau a. Inn,Landkreis Mühldorf a. Inn,Bayern
83229,Aschau i. Chiemgau,Landkreis Rosenheim,Bayern
59387,Ascheberg,Kreis Coesfeld,Nordrhein-Westfalen
24326,Ascheberg(A),Kreis Segeberg,Schleswig-Holstein
24358,Ascheffel,Kreis Rendsburg-Eckernförde,Schleswig-Holstein
6449,Aschersleben,Landkreis Salzlandkreis,Sachsen-Anhalt
85609,Aschheim,Landkreis München,Bayern
27330,Asendorf,Landkreis Diepholz,Niedersachsen
71546,Aspach,Landkreis Rems-Murr-Kreis,Baden-Württemberg
71679,Asperg,Landkreis Ludwigsburg,Baden-Württemberg
55459,"Aspisheim, Grolsheim",Landkreis Mainz-Bingen,Rheinland-Pfalz
97959,Assamstadt,Landkreis Main-Tauber-Kreis,Baden-Württemberg
89176,Asselfingen,Landkreis Alb-Donau-Kreis,Baden-Württemberg
35614,Aßlar,Landkreis Lahn-Dill-Kreis,Hessen
85617,Aßling,Landkreis Ebersberg,Bayern
57439,Attendorn,Kreis Olpe,Nordrhein-Westfalen
84091,Attenhofen,Landkreis Kelheim,Bayern
85395,Attenkirchen,Landkreis Freising,Bayern
88448,Attenweiler,Landkreis Biberach,Baden-Württemberg
94348,Atting,Landkreis Straubing-Bogen,Bayern
79280,Au (Breisgau),Landkreis Breisgau-Hochschwarzwald,Baden-Württemberg
76474,Au am Rhein,Landkreis Rastatt,Baden-Württemberg
84072,Au in der Hallertau,Landkreis Freising,Bayern
97239,Aub,Landkreis Würzburg,Bayern
8280,Aue,Landkreis Erzgebirgskreis,Sachsen
71549,Auenwald,Landkreis Rems-Murr-Kreis,Baden-Württemberg
94530,Auerbach,Landkreis Deggendorf,Bayern
9392,Auerbach,Landkreis Erzgebirgskreis,Sachsen
91275,Auerbach i.d. OPf.,Landkreis Amberg-Sulzbach,Bayern
8209,Auerbach/Vogtl.,Landkreis Vogtlandkreis,Sachsen
31749,Auetal,Landkreis Schaumburg,Niedersachsen
93089,Aufhausen,Landkreis Regensburg,Bayern
91347,Aufseß,Landkreis Bayreuth,Bayern
79424,Auggen,Landkreis Breisgau-Hochschwarzwald,Baden-Württemberg
86199,Augsburg,Kreisfreie Stadt Augsburg,Bayern
86179,Augsburg,Kreisfreie Stadt Augsburg,Bayern
86169,Augsburg,Kreisfreie Stadt Augsburg,Bayern
86167,Augsburg,Kreisfreie Stadt Augsburg,Bayern
86165,Augsburg,Kreisfreie Stadt Augsburg,Bayern
86163,Augsburg,Kreisfreie Stadt Augsburg,Bayern
86161,Augsburg,Kreisfreie Stadt Augsburg,Bayern
86159,Augsburg,Kreisfreie Stadt Augsburg,Bayern
86157,Augsburg,Kreisfreie Stadt Augsburg,Bayern
86156,Augsburg,Kreisfreie Stadt Augsburg,Bayern
86154,Augsburg,Kreisfreie Stadt Augsburg,Bayern
86153,Augsburg,Kreisfreie Stadt Augsburg,Bayern
86152,Augsburg,Kreisfreie Stadt Augsburg,Bayern
86150,Augsburg,Kreisfreie Stadt Augsburg,Bayern
32832,Augustdorf,Kreis Lippe,Nordrhein-Westfalen
31553,"Auhagen, Sachsenhagen",Landkreis Schaumburg,Niedersachsen
86736,Auhausen,Landkreis Donau-Ries,Bayern
24613,"Aukrug, Wiedenborstel",Kreis Steinburg,Schleswig-Holstein
88326,Aulendorf,Landkreis Ravensburg,Baden-Württemberg
7955,Auma-Weidatal,Landkreis Greiz,Thüringen
21521,Aumühle,Kreis Herzogtum Lauenburg,Schleswig-Holstein
97773,Aura i. Sinngrund,Landkreis Main-Spessart,Bayern
91589,Aurach,Landkreis Ansbach,Bayern
91086,Aurachtal,Landkreis Erlangen-Höchstadt,Bayern
26607,Aurich,Landkreis Aurich,Niedersachsen
26605,Aurich,Landkreis Aurich,Niedersachsen
26603,Aurich,Landkreis Aurich,Niedersachsen
94532,Außernzell,Landkreis Deggendorf,Bayern
85653,Aying,Landkreis München,Bayern
54441,"Ayl, Trassem u.a.",Landkreis Trier-Saarburg,Rheinland-Pfalz
86482,Aystetten,Landkreis Augsburg,Bayern
86674,Baar,Landkreis Aichach-Friedberg,Bayern
85107,Baar-Ebenhausen,Landkreis Pfaffenhofen a.d. Ilm,Bayern
87727,Babenhausen,Landkreis Unterallgäu,Bayern
64832,Babenhausen,Landkreis Darmstadt-Dieburg,Hessen
83547,Babensham,Landkreis Rosenheim,Bayern
93090,Bach an der Donau,Landkreis Regensburg,Bayern
55422,"Bacharach, Breitscheid",Landkreis Mainz-Bingen,Rheinland-Pfalz
89429,Bachhagel,Landkreis Dillingen a.d. Donau,Bayern
89431,Bächingen a.d. Brenz,Landkreis Dillingen a.d. Donau,Bayern
71522,Backnang,Landkreis Rems-Murr-Kreis,Baden-Württemberg
93077,Bad Abbach,Landkreis Kelheim,Bayern
83043,Bad Aibling,Landkreis Rosenheim,Bayern
95680,Bad Alexandersbad,Landkreis Wunsiedel i. Fichtelgebirge,Bayern
34454,Bad Arolsen,Landkreis Waldeck-Frankenberg,Hessen
79415,Bad Bellingen,Landkreis Lörrach,Baden-Württemberg
48455,Bad Bentheim,Landkreis Grafschaft Bentheim,Niedersachsen
76887,Bad Bergzabern u.a.,Landkreis Südliche Weinstraße,Rheinland-Pfalz
99438,Bad Berka u.a.,Landkreis Weimarer Land,Thüringen
57319,Bad Berleburg,Kreis Siegen-Wittgenstein,Nordrhein-Westfalen
95460,Bad Berneck im Fichtelgebirge,Landkreis Bayreuth,Bayern
56864,Bad Bertrich,Landkreis Cochem-Zell,Rheinland-Pfalz
29549,Bad Bevensen,Landkreis Uelzen,Niedersachsen
6647,"Bad Bibra, Finne u.a.",Landkreis Burgenlandkreis,Sachsen-Anhalt
84364,Bad Birnbach,Landkreis Rottal-Inn,Bayern
7422,Bad Blankenburg,Landkreis Saalfeld-Rudolstadt,Thüringen
97708,Bad Bocklet,Landkreis Bad Kissingen,Bayern
29389,Bad Bodenteich,Landkreis Uelzen,Niedersachsen
73087,Bad Boll,Landkreis Göppingen,Baden-Württemberg
8648,Bad Brambach,Landkreis Vogtlandkreis,Sachsen
24576,Bad Bramstedt,Kreis Segeberg,Schleswig-Holstein
53498,"Bad Breisig, Waldorf, Gönnersdorf",Landkreis Ahrweiler,Rheinland-Pfalz
97769,Bad Brückenau,Landkreis Bad Kissingen,Bayern
88422,Bad Buchau,Landkreis Biberach,Baden-Württemberg
65520,Bad Camberg,Landkreis Limburg-Weilburg,Hessen
98663,Bad Colberg-Heldburg,Landkreis Hildburghausen,Thüringen
73342,Bad Ditzenbach,Landkreis Göppingen,Baden-Württemberg
18209,"Bad Doberan, Bartenshagen-Parkentin u.a.",Landkreis Rostock,Mecklenburg-Vorpommern
33014,Bad Driburg,Kreis Höxter,Nordrhein-Westfalen
4849,Bad Düben,Landkreis Nordsachsen,Sachsen
67098,Bad Dürkheim,Landkreis Bad Dürkheim,Rheinland-Pfalz
6231,Bad Dürrenberg,Landkreis Saalekreis,Sachsen-Anhalt
78073,Bad Dürrheim,Landkreis Schwarzwald-Baar-Kreis,Baden-Württemberg
8645,Bad Elster,Landkreis Vogtlandkreis,Sachsen
56130,Bad Ems,Landkreis Rhein-Lahn-Kreis,Rheinland-Pfalz
56132,Bad Ems Umland,Landkreis Rhein-Lahn-Kreis,Rheinland-Pfalz
34308,Bad Emstal,Landkreis Kassel,Hessen
35080,Bad Endbach,Landkreis Marburg-Biedenkopf,Hessen
83093,Bad Endorf,Landkreis Rosenheim,Bayern
49152,Bad Essen,Landkreis Osnabrück,Niedersachsen
29683,"Bad Fallingbostel, Osterheide",Landkreis Heidekreis,Niedersachsen
83075,Bad Feilnbach,Landkreis Rosenheim,Bayern
6567,Bad Frankenhausen/Kyffhäuser,Landkreis Kyffhäuserkreis,Thüringen
16259,Bad Freienwalde u.a.,Landkreis Märkisch-Oderland,Brandenburg
74177,Bad Friedrichshall,Landkreis Heilbronn,Baden-Württemberg
94072,Bad Füssing,Landkreis Passau,Bayern
37581,Bad Gandersheim,Landkreis Northeim,Niedersachsen
1816,Bad Gottleuba-Berggießhübel,Landkreis Sächsische Schweiz-Osterzgebirge,Sachsen
87730,Bad Grönenbach,Landkreis Unterallgäu,Bayern
37539,Bad Grund,Landkreis Göttingen,Niedersachsen
38667,"Bad Harzburg, Torfhaus",Landkreis Goslar,Niedersachsen
83670,Bad Heilbrunn,Landkreis Bad Tölz-Wolfratshausen,Bayern
76332,Bad Herrenalb,Landkreis Calw,Baden-Württemberg
36251,"Bad Hersfeld, Ludwigsau",Landkreis Hersfeld-Rotenburg,Hessen
87541,Bad Hindelang,Landkreis Oberallgäu,Bayern
61352,Bad Homburg v.d. Höhe,Landkreis Hochtaunuskreis,Hessen
61350,Bad Homburg v.d. Höhe,Landkreis Hochtaunuskreis,Hessen
61348,Bad Homburg v.d. Höhe,Landkreis Hochtaunuskreis,Hessen
53604,Bad Honnef,Kreis Rhein-Sieg-Kreis,Nordrhein-Westfalen
53557,Bad Hönningen,Landkreis Neuwied,Rheinland-Pfalz
49186,Bad Iburg,Landkreis Osnabrück,Niedersachsen
34385,Bad Karlshafen,Landkreis Kassel,Hessen
97688,Bad Kissingen,Landkreis Bad Kissingen,Bayern
23996,Bad Kleinen u.a.,Landkreis Nordwestmecklenburg,Mecklenburg-Vorpommern
7639,Bad Klosterlausnitz,Landkreis Saale-Holzland-Kreis,Thüringen
82433,Bad Kohlgrub,Landkreis Garmisch-Partenkirchen,Bayern
64732,Bad König,Landkreis Odenwaldkreis,Hessen
97631,Bad Königshofen i. Grabfeld,Landkreis Rhön-Grabfeld,Bayern
7586,Bad Köstritz,Landkreis Greiz,Thüringen
55583,Bad Kreuznach,Landkreis Bad Kreuznach,Rheinland-Pfalz
55545,Bad Kreuznach,Landkreis Bad Kreuznach,Rheinland-Pfalz
55543,Bad Kreuznach,Landkreis Bad Kreuznach,Rheinland-Pfalz
79189,Bad Krozingen,Landkreis Breisgau-Hochschwarzwald,Baden-Württemberg
57334,Bad Laasphe,Kreis Siegen-Wittgenstein,Nordrhein-Westfalen
49196,Bad Laer,Landkreis Osnabrück,Niedersachsen
99947,Bad Langensalza,Landkreis Unstrut-Hainich-Kreis,Thüringen
6246,Bad Lauchstädt,Landkreis Saalekreis,Sachsen-Anhalt
4651,Bad Lausick,Landkreis Leipzig,Sachsen
37431,Bad Lauterberg,Landkreis Göttingen,Niedersachsen
36448,Bad Liebenstein,Landkreis Wartburgkreis,Thüringen
4924,Bad Liebenwerda,Landkreis Elbe-Elster,Brandenburg
